fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,game_id,num_of_,num_of_CENTER,num_of_DEEP LEFT,num_of_DEEP RIGHT,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_PASS,num_of_PUNT,num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RUSH,num_of_SACK,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_UNDER CENTER,num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4,fourth_down_attempts_total,num_of_defensive_penalties_total,num_of_defensive_penalty_yards_total,num_of_fumbles_total,num_of_interceptions_caught_total,num_of_interceptions_thrown_total,num_of_offensive_penalties_total,num_of_offensive_penalty_yards_total,num_of_passes_attempted_total,num_of_passes_completed_total,num_of_sacks_total,num_of_times_sacked_total,number_of_first_downs_total,number_of_successful_fourth_downs_total,number_of_successful_third_downs_total,third_down_attempts_total,yards_allowed_total,yards_moved_total
2,1,2,2,2021100306,34,,3.0,6.0,1.0,3.0,5,1.0,5.0,1.0,14.0,,43,4.0,4.0,6.0,,17,,11.0,6.0,15,30,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,10,10,0,0,9,5,9,14,6,3,7,9,0,0,0,0,0,0,0,0,4,5,7,8,0,0,0,0,1,0,1,1,27,3,1,3,3,57,141,195,74,67,127,88,141,7,0,0,1,1,1,2,20,37,25,0,0,24,0,3,10,467,423
2,1,0,2,2021100306,55,1.0,2.0,2.0,3.0,1.0,5,2.0,9.0,6.0,,2.0,27,3.0,5.0,11.0,7.0,41,,7.0,1.0,14,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,2,0,15,10,10,6,10,6,5,3,9,6,3,0,0,0,0,0,0,0,0,5,10,9,6,0,0,0,0,1,5,1,2,27,3,6,1,4,67,127,88,141,57,141,195,74,5,0,0,0,1,1,5,35,27,21,0,0,30,0,9,14,423,467
1,3,2,4,2021100305,35,3.0,5.0,6.0,1.0,,2,4.0,5.0,1.0,2.0,1.0,42,6.0,3.0,3.0,2.0,21,2.0,13.0,2.0,13,31,38,0,0,0,2,0,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,5,5,10,10,6,9,6,21,6,3,4,10,0,1,1,1,0,0,2,0,8,2,3,5,1,0,0,0,2,0,1,3,13,3,4,3,9,68,117,69,75,80,40,52,127,10,3,12,0,0,2,4,30,42,23,3,2,18,1,6,19,329,299
0,4,4,4,2021100305,59,4.0,3.0,5.0,,2.0,5,8.0,2.0,5.0,,2.0,35,7.0,10.0,4.0,4.0,37,3.0,8.0,6.0,10,37,47,1,1,0,0,1,1,0,0,15,18,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,25,15,0,6,18,3,8,4,7,2,2,0,0,2,0,0,1,1,1,5,12,3,5,0,0,0,0,3,4,0,0,14,3,9,3,4,80,40,52,127,68,117,69,75,12,2,33,0,2,0,5,40,35,15,2,3,25,0,7,19,299,329
2,1,1,2,2021101002,46,4.0,3.0,3.0,2.0,7.0,7,1.0,4.0,,4.0,2.0,38,2.0,2.0,6.0,6.0,23,2.0,14.0,4.0,12,32,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,10,0,0,8,16,6,5,4,14,6,2,1,2,0,0,0,1,0,0,5,14,5,4,0,0,0,0,0,2,2,0,25,2,3,3,3,61,81,82,110,109,172,61,142,6,0,0,0,1,1,2,10,35,26,3,1,28,0,4,11,334,484
3,2,3,2,2021101002,43,6.0,1.0,5.0,2.0,2.0,4,2.0,3.0,4.0,3.0,,38,5.0,1.0,4.0,3.0,23,3.0,9.0,10.0,13,48,23,1,1,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,10,0,12,4,8,12,9,3,5,9,0,1,0,0,1,2,0,0,8,3,5,9,1,0,1,1,0,0,1,3,22,3,2,2,5,109,172,61,142,61,81,82,110,10,1,11,0,1,1,2,10,36,26,1,3,25,3,4,12,484,334
2,1,3,1,2021100308,39,7.0,5.0,3.0,3.0,4.0,7,1.0,,,13.0,2.0,51,,6.0,,1.0,15,3.0,16.0,5.0,22,58,14,0,0,2,1,0,1,11,3,0,5,1,1,1,0,0,0,1,0,0,1,0,0,2,0,3,1,10,0,20,0,13,12,9,17,11,8,7,8,1,0,1,0,0,1,0,2,13,8,7,12,1,0,1,0,0,2,1,3,45,2,4,2,4,76,171,98,148,164,108,74,138,7,4,19,3,1,1,6,30,51,34,2,3,40,2,6,12,493,484
0,0,0,0,2021100308,51,9.0,4.0,1.0,6.0,,7,7.0,,1.0,,3.0,32,,7.0,2.0,2.0,28,2.0,11.0,7.0,9,52,31,0,0,0,1,1,1,0,3,3,15,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,1,0,20,0,5,5,12,9,6,4,10,8,5,0,1,0,2,1,0,1,0,7,15,10,12,0,0,0,0,1,3,2,5,48,2,4,3,6,164,108,74,138,76,171,98,148,0,3,21,0,1,1,5,25,32,27,3,2,44,0,11,15,484,493
3,3,2,3,2021100311,54,4.0,4.0,2.0,2.0,3.0,5,5.0,4.0,3.0,1.0,3.0,38,7.0,4.0,4.0,6.0,30,3.0,14.0,5.0,10,68,13,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,10,5,25,6,12,10,10,2,8,6,7,1,1,2,1,0,1,1,1,3,13,5,7,0,0,0,0,1,1,2,3,29,4,4,5,6,97,32,40,107,44,183,60,151,11,1,15,0,1,0,5,40,38,23,5,3,28,0,7,19,276,438
3,4,2,2,2021100311,38,2.0,5.0,4.0,1.0,,2,4.0,1.0,4.0,6.0,1.0,38,11.0,,3.0,3.0,17,5.0,9.0,6.0,13,35,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,5,5,5,10,8,8,9,13,3,4,5,9,0,1,1,1,1,1,2,1,5,5,4,4,0,0,0,0,0,1,1,2,7,4,4,3,5,44,183,60,151,97,32,40,107,11,1,0,0,0,1,6,25,38,21,3,5,18,0,4,16,438,276
