fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,num_of_,num_of_(4:03) (NO,num_of_(55-A.BROOKS) [53-NBOWMAN],num_of_(6:33) 11-ASMITH,num_of_(6:41) (SHOTGUN),num_of_(94-C.LIUGET) [99-JBOSA],num_of_(:15) (SHOTGUN),num_of_(SHOTGUN) 10-THILL,num_of_BACK TO,num_of_CENTER,num_of_CLOCK STOP,num_of_DEEP LEFT,num_of_DEEP MIDDLE,num_of_DEEP RIGHT,num_of_EXCEPTION,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_FUMBLES,num_of_INTENDED FOR,num_of_INTERCEPTED BY,num_of_KESSLER THROUGH,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_LEFT TO,num_of_MIDDLE TO,num_of_MIDDLE [55-FCLARK],num_of_MIDDLE [56-SEBUKAM],num_of_MIDDLE. PENALTY,num_of_NO HUDDLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_NOT LISTED,num_of_PASS,"num_of_PASS RULING,",num_of_PENALTY,num_of_PUNT,num_of_QB KNEEL,num_of_RIGHT (58-JHICKS),num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RIGHT TO,num_of_RIGHT. PENALTY,"num_of_RULING, AND",num_of_RUSH,num_of_SACK,num_of_SCRAMBLE,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_TIMEOUT,num_of_TWO-POINT CONVERSION,num_of_UNDER CENTER,num_of_WILDCAT,num_of_YARDS &,num_of_[33-E.GAINES]. LA-33-EGAINES,num_of_[57-N.SPENCE]. PENALTY,num_of_[58-H.LANDRY III],num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4
1,1,2,2,57,,,,,,,,,10,,,,3,,3,3,,,,,6,4,5,5,,,,,,,,1,,23,,,3,2,,3,3,7,,,,37,1,1,2,4,14,27,,,47,,,,,,0,0,2,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,4,11,3,4,4,9,2,0,0,0,2,1,0,0,0,9,6,10,6,0,0,0,0,2,1,1,3,26,3,2,3,6,78,119,32,59,71,106,148,83
0,2,3,1,42,,,,,,,,,4,1,2,,2,,1,2,1,,,,2,1,5,3,,,,,,,7,1,,34,,,3,,,,1,,,,,14,2,3,11,9,10,37,6,,24,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,7,8,6,10,2,6,1,0,0,0,0,0,0,2,11,9,4,7,0,0,0,0,2,2,0,0,10,2,4,3,1,71,106,148,83,78,119,32,59
1,1,1,1,36,,,,,,,,,7,,3,5,1,,4,1,2,,,,6,1,1,4,,,,,,2,1,2,,30,,,1,,,1,2,2,,,,18,2,,8,8,5,31,,,30,,,,,,0,0,0,1,0,1,0,12,0,6,1,0,2,2,1,0,0,0,1,1,0,0,0,2,0,0,0,20,0,0,6,6,6,12,5,5,4,9,1,1,0,1,0,0,2,0,3,7,9,10,0,0,0,0,1,2,0,1,31,2,3,1,2,133,64,168,36,61,129,154,124
2,3,2,2,64,,,,,,,,,12,,2,1,2,,2,5,,,,,7,,2,4,,,,,,1,1,4,,42,,,3,,,,3,3,,,,24,3,2,14,8,15,37,8,1,56,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,10,14,4,9,6,8,3,0,0,2,0,1,1,0,1,10,7,15,9,0,0,1,0,2,2,1,0,34,5,5,4,2,61,129,154,124,133,64,168,36
0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,,,,0,0,34,47,33,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,157,214,127,217,0,0,0,0
6,6,4,4,91,,,,,,,,,5,1,4,4,4,,5,2,,,,,11,3,14,1,,,,,,3,37,4,,95,,,15,3,,4,9,9,,,,45,2,1,22,31,30,61,,2,68,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,32,17,27,14,19,11,16,0,0,0,0,0,0,0,2,8,15,13,19,0,0,1,0,3,3,0,4,55,9,11,5,10,0,0,0,0,157,214,127,217
0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,11,,,,,,0,0,36,36,31,40,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,193,205,175,244,0,0,0,0
5,3,4,5,88,,,,,,,,,16,,7,3,7,1,3,2,,1,,,7,7,12,4,,,,,,2,8,2,,73,,,14,1,,2,4,7,,,,52,4,2,14,11,30,52,,,84,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,19,22,10,22,10,15,5,13,0,0,0,0,0,1,2,1,13,13,11,13,0,0,0,0,3,3,1,2,39,8,7,5,7,0,0,0,0,193,205,175,244
2,2,0,1,48,,,,,,,,,21,,2,1,3,,3,2,,,,,7,2,,2,,,,,,23,3,2,,35,,,3,,,,1,3,,,,29,1,,7,15,7,15,,1,37,,,,,,1,1,2,1,1,1,8,36,5,13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,5,0,0,5,10,11,6,8,5,8,6,8,0,1,0,0,1,0,0,0,6,11,9,11,0,0,0,0,1,1,0,3,35,4,3,0,4,33,158,175,140,101,126,149,152
2,1,2,2,60,,,,,,,,,12,,2,2,1,,4,1,,,,,5,3,3,3,,,,,,,6,3,,47,,,5,,,2,1,1,,,,25,1,2,11,11,20,35,8,,57,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,15,10,16,4,14,8,9,1,0,0,0,0,1,0,0,3,18,10,20,0,0,0,1,0,3,0,1,28,3,4,3,4,101,126,149,152,33,158,175,140
0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,13,,,,,,0,0,33,42,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,184,237,245,335,0,0,0,0
2,6,4,3,94,,,,1,,,,,,3,9,3,3,,5,6,,,,,14,3,18,4,,,,,,1,5,4,,84,,,7,,,3,15,5,,,,48,2,2,23,13,32,77,,3,83,,,,,,3,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,19,25,11,16,13,13,0,0,0,0,1,1,0,0,15,17,14,22,0,1,0,0,3,4,2,0,69,6,8,6,5,0,0,0,0,184,237,245,335
0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,13,,,,,,0,0,32,38,28,43,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,3,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,176,217,144,133,0,0,0,0
0,2,4,4,96,,,,,,,,,16,3,1,1,3,,5,3,,,,,9,4,7,9,,,,,,2,8,3,,61,,,7,2,,1,14,4,,,,55,5,4,24,9,23,66,,,71,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,4,2,15,15,35,20,15,13,15,18,11,9,11,9,0,0,0,0,1,0,1,3,14,18,9,15,0,0,0,1,3,6,1,6,41,5,8,6,10,0,0,0,0,176,217,144,133
0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,10,,,,,,0,0,34,40,35,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,140,232,260,135,0,0,0,0
5,3,2,6,91,,,,,,,,,,,7,1,6,,5,4,,,,,12,10,4,5,,,,,,2,2,4,,73,,,10,3,,6,11,9,,,,45,3,4,21,14,24,61,,1,85,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,10,9,22,7,16,23,18,16,11,18,14,8,0,0,0,0,1,0,1,1,10,16,19,9,0,0,1,0,1,3,0,2,55,7,8,4,7,0,0,0,0,140,232,260,135
